title,namespace,id,revision_id,revision_parentid,revision_timestamp,is_redirect,redirect_title,categories,templates,text_length,text
生物学,0,57,90442861,,2022-07-11T14:24:14Z,false,,"生物学,理学,生命科学","複数の問題,main,see_also,出典の明記,脚注ヘルプ,notelist,reflist,ウィキポータルリンク,sisterlinks,clear,natural_sciences-footer,生物学,性,normdaten,defaultsort",108,生物学とは、生命現象を研究する、自然科学の一分野である。広義には医学や農学など応用科学・総合科学も含み、狭義には基礎科学の部分を指す。一般的には後者の意味で用いられることが多い。類義語として生命科学や生物科学がある。
社会,0,58,92235322,,2022-11-02T03:26:08Z,false,,"社会,和製漢語,哲学の和製漢語","otheruses,main,脚注ヘルプ,wikiquote,wikinewsportal,wiktionary,社会学,社会哲学と政治哲学,normdaten,defaultsort",568,社会は、ある共通項によってくくられ、他から区別される人々の集まり。また、仲間意識をもって、みずからを他と区別する人々の集まり。社会の範囲は非常に幅広く、単一の組織や結社などの部分社会から国民を包括する全体社会まで様々である。社会の複雑で多様な行為や構造を研究する寺林のりきを倒す社会は広範かつ複雑な現象であるが、継続的な意思疎通と相互行為が行われ、かつそれらがある程度の度合いで秩序化、組織化された、ある一定の人間の集合があれば、それは社会であると考えることができる。社会を構成する人口の規模に注目した場合には国際社会や国民国家を想定する全体社会や都市や組織などの部分社会に区分できる。さらに意思疎通や相互作用、秩序性や限定性という社会の条件に欠落があれば全てを満たす社会と区別して準社会と呼ぶことができる。人間は誕生してから死亡するまで社会の構成員の一人とされ、都市または農村において育ち、家庭や学校などでさまざまな教育を受けながら成長する。この過程で社会に存在している規範や法、宗教や芸術などの文化に触れ、そして家族外の人間関係を拡大していく。これは人間の社会化の過程でもある。社会は人口集団・都市形態・経済発展・政治体制・宗教などによって多様性を観察することが可能であり、時代や地域によってさまざまな社会の形態を見ることができる。
こどもの文化,0,59,89346858,,2022-05-03T23:44:53Z,false,,"子供の遊び,子供,育児,テーマ別の文化","複数の問題,脚注ヘルプ,defaultsort",175,こどもの文化は、子供の遊びや行事を通じて形成される子供独自の文化である。未就学あるいは義務教育段階である子供が、子供ら独自で、あるいは保護者や教師をはじめとする大人からの示唆や指導を受けながら形成し、その多くは以下に挙げるような、子供の形成過程で使われるさまざまな道具により、創造性、想像力など脳の発達と共に、文化的意味合いを持つものだと指摘できる。
特撮,0,60,91547107,,2022-09-19T21:11:04Z,false,,"特撮,映像作品,SFのジャンル,ホラーのジャンル,テレビドラマのジャンル,テレビ番組のジャンル","otheruseslist,出典の明記,ウィキプロジェクトリンク,脚注ヘルプ,notelist,reflist,defaultsort",49,特撮は、特殊撮影技術を指す略称、またはSFXが多用された映画やテレビ番組などの映像作品を指す総称。
日常生活,0,62,90244694,,2022-06-28T22:20:19Z,false,,"生活,文化用語,人の一生","独自研究,reflist,都市社会学,normdaten,defaultsort",1787,日常生活は、毎日繰り返される普段の生活のこと。日常生活とは、人が生きるために日々繰り返しやっていることである。人によって若干内容は異なるが、たとえば次のようなこと。朝目覚めていつものように顔を洗う、歯をみがく、髪をとかす、いつもの場所で朝食食べる、着替える、学生なら自宅や学校で勉強をするとか宿題をするとか、自営業の仕事をしている人ならいつもの自分の仕事場でいつもの仕事をするとか、勤め人ならいつもの仕事場に行き仕事をして帰ってくるなどということや、農業をしている人ならいつもどおりに畑で仕事をしたり収穫物の出荷をしたり農機具の整備をしたり、漁業にたずさわっている人ならいつも通りに漁に出たり網の手入れをしたり、学業も仕事もしていない人はいつもどおり自宅やいつもの場所でいつも通りのことをして過ごすということである。そしていつもの場所で昼食をとり、いつもと同じ場所で夕食をとったり、あるいはいつものようにトイレに入ったりシャワーをあびたり風呂に入ったり、くつろいだ部屋着を着たり、自宅のいつもの場所でテレビを見たり、近年ならいつものようにYoutubeを見たりSNSをチェックしたり、いつものように甘いもの食べたり人によっては少し酒を飲んだり、そうしていつもの場所で眠りにつくことなどである。一般にはこういった行為、日々ルーチンのように繰り返されている一連の行為・行動が日常生活と呼ばれている。禅ではしばしば日常生活に焦点をあて、日常生活の中で禅を行うという手法もとる。日常生活に を少しだけ取り入れることを生活禅などと言う。たとえば、疲れたなと思ったらちょっと背筋を伸ばしてみる、とか、思い立ったらすぐに始める、などということである。なお医療とくにリハビリに携わる職種の人々は <日常生活動作>という用語を使って、普段人々が共通して行っている日常生活の具体的な動作、特に仕事以外の動作に特別な注意を払っている。起床・就寝・着替え・食事・歯磨き・洗顔・排泄・入浴などといった行為・行動で行われる動作を具体的に指している。大きな負傷などをして骨・筋肉などを傷めたりすると、人々が当たり前と思っている日常生活を送ることが困難になる。寝たり起きたり着替えたりといったことすらできなくなってしまうのである。なおニュースというのは事件や普段とは異なった出来事を扱うものであるから、人々が日常生活でしていることはニュース媒体ではほとんど扱われない。報道機関の記者は通常、普通の人々のありきたりな日常生活をわざわざ取材しようとはしない。たとえ個人的には興味を持っている記者がいたとしても、ニュース記事にはできないので仕事としては取材を行っていられない。だが民俗学者、文化人類学者などは、普通の人が普段どのようなことをしているのか、人類は日々どのように生きているのかということに興味を示しそれなりに研究対象とすることがあり、欧米の学者によって人々の日常生活を扱った学術書も、数は多くはないが、書かれてはいる。; の対比概念なお医療用語ではなく一般的な表現で と対比されているのは であり、毎日のようには行わないこと、普段とは違う行為・行動である。日常生活というのは毎日のように繰り返されるので、人は慣れてしまい次第に感情が湧かなくなるものだが、非日常は普段とは違う行為なので印象に残り特別な感情を生むことが多い。非日常のほうは喜ばしいこともあれば喜ばしくないこともある。たとえば入学試験を受けたり入学式や卒業式に出席することとかあるいは退学させられてしまうとか、また入社試験を受けたり入社式に出席したり退社のお別れ会に参加することとかあるいは突然退社勧告を受けるつまり突然クビになるとか、結婚届けを役所に出して結婚生活を始めたり離婚届けを出して新しく別々の人生を始めたりする日の特別な行為・行動である。また、まれに起きる事故や事件というのも日常生活には含められず、非日常である。たとえば自身が突然事故にあって救急車で病院に運ばれるとか、親が突然しかも初めて倒れて緊急入院したので病院にかけつけ看病したとか、親の葬儀の喪主の役を果たした、などということは日常生活には含まれず、非日常である。また普段の学業や仕事をわざわざ休んで気分転換のために旅に出るなどということも日常生活ではなく である。
情報工学,0,63,91481604,,2022-09-16T03:36:50Z,false,,"情報工学,情報学","脚注ヘルプ,reflist,engineering_fields,computer-stub,defaultsort",103,情報工学は、情報分野についての工学である。なお英語の information engineering はソフトウェア工学における一手法であり、日本語の「情報工学」とは対応しない。また似た言葉に情報学がある。
形式言語,0,64,84907774,,2021-08-07T05:24:27Z,false,,"文法,理論計算機科学,形式言語,構文解析 (プログラミング),数学に関する記事,メタ論理学","main,独自研究,see,脚注ヘルプ,reflist,commonscat,logic,normdaten,defaultsort",218,形式言語は、その文法が、場合によっては意味も、形式的に与えられている言語である。形式的でないために、しばしば曖昧さが残されたり、話者集団によって用法のうつろいゆくような自然言語に対して、プログラミング言語を含む一部の人工言語や、いわゆる機械可読なドキュメント類などの形式言語は、用法の変化に関しては厳格である。この記事では形式的な統語論すなわち構文の形式的な定義と形式文法について述べる。形式的な意味論については形式意味論の記事を参照。
文脈自由言語,0,65,92225983,,2022-11-01T10:41:35Z,false,,"形式言語,構文解析 (プログラミング),数学に関する記事",defaultsort,211,文脈自由言語とは、次のような再帰的な生成規則をもつ文脈自由文法によって、与えられた言語の長さ n に対して O の時間で認識される形式言語。プッシュダウン・オートマトンで受理可能な言語と等価である。* S → E.* E → T | E - T | E + T | .* T → T * E | T / E | id | num.ある言語が文脈自由言語でないことを証明するために文脈自由言語の反復補題が使われることがある。
正規言語,0,66,92249755,,2022-11-03T02:55:33Z,false,,"有限オートマトン,形式言語,数学に関する記事","脚注ヘルプ,reflist,デフォルトソート",115,正規言語または正則言語は、以下に示す性質を満たす形式言語である。*決定性有限オートマトンによって受理可能*非決定性有限オートマトンによって受理可能*正規表現で記述可能*正規文法から生成可能*読みとり専用チューリングマシンで受理可能
自然言語処理,0,67,92150640,,2022-10-27T14:17:37Z,false,,"言語学,自然言語処理,研究の計算分野","複数の問題,言語学,quotation,columns-list,脚注ヘルプ,reflist,自然言語処理,normdaten,defaultsort",527,自然言語処理は、人間が日常的に使っている自然言語をコンピュータに処理させる一連の技術であり、人工知能と言語学の一分野である。「計算言語学」との類似もあるが、自然言語処理は工学的な視点からの言語処理をさすのに対して、計算言語学は言語学的視点を重視する手法をさす事が多い。データベース内の情報を自然言語に変換したり、自然言語の文章をより形式的な表現に変換するといった処理が含まれる。応用例としては予測変換、IMEなどの文字変換が挙げられる。自然言語の理解をコンピュータにさせることは、自然言語理解とされている。自然言語理解と、自然言語処理の差は、意味を扱うか、扱わないかという説もあったが、最近は数理的な言語解析手法が広められた為、パーサなどが一段と精度や速度が上がり、その意味合いは違ってきている。もともと自然言語の意味論的側面を全く無視して達成できることは非常に限られている。このため、自然言語処理には形態素解析と構文解析、文脈解析、意味解析などをなど表層的な観点から解析をする学問であるが、自然言語理解は、意味をどのように理解するかという個々人の理解と推論部分が主な研究の課題になってきており、両者の境界は意思や意図が含まれるかどうかになってきている。
自然言語,0,68,80918409,,2020-12-17T18:16:04Z,false,,"諸言語,言語学,哲学的論理学,レトロニム","出典の明記,脚注ヘルプ,reflist,normdaten,defaultsort",154,自然言語とは、言語学や論理学、計算機科学の専門用語で、「英語」・「中国語」・「日本語」といった「○○語」の総称。つまり普通の「言語」のこと。人間が意思疎通のために日常的に用いる言語であり、文化的背景を持っておのずから発展してきた言語。対義語は「人工言語」「形式言語」、すなわちプログラミング言語や論理式など。
プログラミング言語,0,69,92051317,,2022-10-21T00:27:06Z,false,,"プログラミング言語,コンピュータ言語,プログラミング","see_also,cite_book,main,see,seealso,要出典範囲,参照方法,脚注ヘルプ,notelist,reflist,normdaten,プログラミング言語一覧,プログラミング言語の関連項目,コンピュータ科学,defaultsort",92,プログラミング言語とは、プログラムを記述するための人工言語。コンピュータプログラムを書くために考案された、正確に定義された記号と規則のしくみ。以前はしばしばプログラム言語と表記された。
人工知能,0,70,92258795,,2022-11-03T14:08:09Z,false,,"人工知能,計算機科学,情報工学,工業,工学,エンジニアリング,プログラミング,情報通信業,研究開発,研究の計算分野,計算論的神経科学,サイバネティックス,コンピュータのユーザインタフェース,新技術,形式科学,計算機科学の未解決問題,科学技術の倫理,心の哲学","cquote,see_also,quotation,main,出典の明記,脚注ヘルプ,notelist,reflist,div_col,div_col_end,ソフトウェア工学,コンピュータ科学,engineering_fields,新技術,デフォルトソート",259,人工知能またはアーティフィシャル・インテリジェンス、AIとは、「『計算』という概念と『コンピュータ』という道具を用いて『知能』を研究する計算機科学の一分野」を指す語。「言語の理解や推論、問題解決などの知的行動を人間に代わってコンピューターに行わせる技術」、または、「計算機による知的な情報処理システムの設計や実現に関する研究分野」ともされる。大学でAI教育研究は、情報工学科や情報理工学科コンピュータ科学専攻などの組織で行われている。『日本大百科全書』の解説で、情報工学者・通信工学者の佐藤理史は次のように述べている。
オーストリア,0,74,92084244,,2022-10-23T02:21:01Z,false,,"オーストリア,内陸国,欧州連合加盟国,共和国,連邦制国家,フランコフォニーのオブザーバー,国際連合加盟国","混同,基礎情報_国,see_also,main,節スタブ,地域区分表,地域区分表列,colbegin,colend,lang,独自研究,出典の明記,脚注ヘルプ,notelist,reflist,refbegin,refend,col,commons&cat,ヨーロッパ,eu,oecd,oif,normdaten,coord,defaultsort",157,オーストリア共和国、通称オーストリアは、中央ヨーロッパに位置する連邦共和制国家。首都はウィーン。ドイツの南方の内陸に位置し、西側はリヒテンシュタイン、スイスと、南はイタリアとスロベニア、東はハンガリーとスロバキア、北はドイツとチェコと隣接する。基本的には中欧とされるが、歴史的には西欧や東欧に分類されたことがある。
GNU Free Documentation License,0,75,91053837,,2022-08-19T08:51:18Z,false,,"ライセンス,コピーレフト,知的財産権,フリーソフトウェア財団,GNU Free Documentation License,2008年設立","wikipediapage,software_license,脚注ヘルプ,reflist,ウィキポータルリンク,gnu,normdaten",306,GNU Free Documentation License は、GNUプロジェクトの一環としてフリーソフトウェア財団から配布されているコピーレフトなライセンスの一つである。略称として GNU FDL、GFDLなどと書かれることもある。GNUはグニューあるいはグヌーと発音する。日本語訳では、「GNU フリー文書利用許諾契約書」という語が用いられることがあるが、一般的に「契約」と言えるか否かは、異論も存在する。なお、GNUの公式サイトで使われる日本語訳はGNU自由文書ライセンスである。これは英語のFreeが無料と自由の両方の意味が存在するため、誤解を避ける目的で「自由」という用語に置き換えられたためである。
社会学者の一覧,0,76,91725969,,2022-10-01T12:48:20Z,false,,"社会学者,学者の人名一覧","出典の明記,div_col,div_col_end,defaultsort",26,社会学者の一覧では、社会学を研究する学者を一覧する。
ゴーダチーズ,0,81,91408174,,2022-09-11T03:33:16Z,false,,"オランダのチーズ,牛乳のチーズ","出典の明記,commonscat,normdaten,デフォルトソート",114,ゴーダチーズは、エダムチーズと並ぶオランダの代表的なチーズ。オランダでのチーズ生産量の60 %を占める。ロッテルダム近郊の町、ゴーダで作られたことからこの名前がついた。正確な起源は不明だが12世紀頃にまで溯るとされることが多い。
バールーフ・デ・スピノザ,0,82,92227639,,2022-11-01T12:17:08Z,false,,"バールーフ・デ・スピノザ,17世紀のユダヤ神学者,17世紀オランダの哲学者,オランダの神学者,ユダヤ人の哲学者,啓蒙思想家,政治哲学者,形而上学者,存在論の哲学者,倫理学者,心の哲学者,決定論者,汎神論者,ユダヤ人の懐疑論,ユダヤ人のヘブライ聖書学者,科学革命,破門,オランダ共和国の人物,オランダ・ギルダー紙幣の人物,セファルディ系ユダヤ人,ユダヤ系オランダ人,ポルトガル系オランダ人,アムステルダム出身の人物,1632年生,1677年没","一次資料,出典の明記,哲学者,脚注ヘルプ,notelist2,reflist,commons,wikiquote2,normdaten,defaultsort",323,バールーフ・デ・スピノザは、オランダの哲学者である。ラテン語名ベネディクトゥス・デ・スピノザでも知られる。デカルト、ライプニッツと並ぶ17世紀の近世合理主義哲学者として知られ、その哲学体系は代表的な汎神論と考えられてきた。また、カント、フィヒテ、シェリング、ヘーゲルらドイツ観念論やマルクス、そしてその後の大陸哲学系現代思想へ強大な影響を与えた。スピノザの汎神論は新プラトン主義的な一元論でもあり、後世の無神論や唯物論に強い影響を与え、または思想的準備の役割を果たした。生前のスピノザ自身も、無神論者のレッテルを貼られ異端視され、批判を浴びている。スピノザの肖像は1970年代に流通していたオランダの最高額面の1000ギルダー紙幣に描かれていた。
文脈自由文法,0,89,81725655,,2021-02-07T15:39:11Z,false,,"形式言語,数学に関する記事,プログラミング言語のトピック","indent,reflist,defaultsort",171,文脈自由文法は、形式言語の理論において全生成規則が以下のようである形式文法である。ここで V は非終端記号であり、//w// は終端記号と非終端記号の任意個の並びである。「文脈自由」という用語は前後関係に依存せずに非終端記号 V を //w// に置換できる、という所から来ている。文脈自由文法によって生成される形式言語を文脈自由言語という。
フランス語,0,90,91529932,,2022-09-18T22:51:58Z,false,,"フランス語,フランスの言語,カナダの言語,ドイツの言語,スイスの言語,ベルギーの言語,ルクセンブルクの言語,ハイチの言語,レバノンの言語,モロッコの言語,コンゴ共和国の言語,コンゴ民主共和国の言語,チュニジアの言語,カメルーンの言語,マリ共和国の言語,セネガルの言語,トーゴの言語,ルワンダの言語,ブルンジの言語,ベナンの言語,マダガスカルの言語,コートジボワールの言語,インド・ヨーロッパ語族,ロマンス諸語","redirect,language,main,フランス語アルファベット,脚注ヘルプ,notelist,reflist,wikipedia,wiktionarycat,sisterlinks,フランス語,フランス関連の主要項目,国際連合公用語,normdaten,アフリカ連合の言語,defaultsort",354,フランス語は、インド・ヨーロッパ語族のイタリック語派に属する言語。ロマンス諸語の一つで、ラテン語の口語から変化したフランス北部のオイル語が母体と言われている。日本語では、仏蘭西語、略して仏語とも書く。フランス語という呼び方は、多くの言語が存在するフランスにおいて誤解を招く可能性もあるので、単にオイル語と呼んでフランスの他の言語と区別することもある。世界で英語に次ぐ2番目に多くの国・地域で使用されている言語で、フランス、スイス、ベルギー、カナダのほか、かつてフランスやベルギーの領域だった諸国を中心に29ヶ国で公用語になっている。全世界で1億2300万人が主要言語として使用し、総話者数は2億人以上である。国際連合、欧州連合などの公用語の一つにも選ばれている。このフランス語の話者を、フランコフォンと言う。
